entry_id,polymer_name,SMILES,Mn_Kda,PDI,Aspect_Ratio,Capacitance,GATE,Dielectric,Fabrication_Method,Solvent_of_Spin_Coating,Test_Environment,Type,S/D,Annealing_Temperature,max_mobility,C-TYPE,mobility_label
1,PTTAZ,O=C(OCC(CCCC)CCCCCC)NC1=C(SC2=C1SC(/C=N/C3=C(C#N)C=C(C4=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=CS7)N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)S4)S3)=C2NC(OCC(CCCCCC)CCCC)=O)/C=N/C8=C(C#N)C=CS8,33.5,1.9,9,10,Si,Surface Treated SiO2,Spin coating,Chloroform,Nitrogen,BG/TC,Au,25,0.00344,p,0
2,PBTAZ,O=C(OCC(CCCCCC)CCCC)NC1=C(/C=N/C2=C(C#N)C=C(C3=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=CS6)N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)S3)S2)SC(C7=CC(NC(OCC(CCCC)CCCCCC)=O)=C(S7)/C=N/C8=C(C#N)C=CS8)=C1,28.5,3.4,9,10,Si,Surface Treated SiO2,Spin coating ,Chloroform,Nitrogen,BG/TC,Au,25,0.00313,p,0
3,PTTAZ,O=C(OCC(CCCC)CCCCCC)NC1=C(SC2=C1SC(/C=N/C3=C(C#N)C=C(C4=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=CS7)N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)S4)S3)=C2NC(OCC(CCCCCC)CCCC)=O)/C=N/C8=C(C#N)C=CS8,33.5,1.9,9,10,Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,90,0.00368,p,0
4,PBTAZ,O=C(OCC(CCCCCC)CCCC)NC1=C(/C=N/C2=C(C#N)C=C(C3=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=CS6)N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)S3)S2)SC(C7=CC(NC(OCC(CCCC)CCCCCC)=O)=C(S7)/C=N/C8=C(C#N)C=CS8)=C1,28.5,3.4,9,10,Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,90,0.00324,p,0
5,PTTAZ,O=C(OCC(CCCC)CCCCCC)NC1=C(SC2=C1SC(/C=N/C3=C(C#N)C=C(C4=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=CS7)N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)S4)S3)=C2NC(OCC(CCCCCC)CCCC)=O)/C=N/C8=C(C#N)C=CS8,33.5,1.9,9,10,Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,120,0.00224,p,0
6,PBTAZ,O=C(OCC(CCCCCC)CCCC)NC1=C(/C=N/C2=C(C#N)C=C(C3=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=CS6)N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)S3)S2)SC(C7=CC(NC(OCC(CCCC)CCCCCC)=O)=C(S7)/C=N/C8=C(C#N)C=CS8)=C1,28.5,3.4,9,10,Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,120,0.00259,p,0
7,TVTDA-4FTVT,O=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C1=C2SC(C3=C(F)C(F)=C(/C=C/C4=C(F)C(F)=CS4)S3)=C1)C(C2C(N5CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)C6=C5C=CS6,32,2.05,88,4.6,Al,PMMA,Spin coating - annealing,Chlorobenzene,Ambient,TG/BC,Au,250,0.82,n,1
8,TVTDA-2F2CNTVT,O=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C1=C2SC(C3=C(F)C(C#N)=C(/C=C/C4=C(C#N)C(F)=CS4)S3)=C1)C(C2C(N5CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)C6=C5C=CS6,26,2.57,88,4.6,Al,PMMA,Spin coating - annealing,Chlorobenzene,Ambient,TG/BC,Au,250,0.028,n,0
9,TVTDA-4FTVT,O=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C1=C2SC(C3=C(F)C(F)=C(/C=C/C4=C(F)C(F)=CS4)S3)=C1)C(C2C(N5CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)C6=C5C=CS6,32,2.05,88,4.6,Al,PMMA,Spin coating - annealing,Chlorobenzene,Ambient,TG/BC,Au,150,0.54,n,1
10,TVTDA-2F2CNTVT,O=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C1=C2SC(C3=C(F)C(C#N)=C(/C=C/C4=C(C#N)C(F)=CS4)S3)=C1)C(C2C(N5CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)C6=C5C=CS6,26,2.57,88,4.6,Al,PMMA,Spin coating - annealing,Chlorobenzene,Ambient,TG/BC,Au,150,0.031,n,0
11,TVTDA-4FTVT,O=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C1=C2SC(C3=C(F)C(F)=C(/C=C/C4=C(F)C(F)=CS4)S3)=C1)C(C2C(N5CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)C6=C5C=CS6,32,2.05,88,4.6,Al,PMMA,Spin coating - annealing,Chlorobenzene,Ambient,TG/BC,Au,200,0.83,n,1
12,TVTDA-2F2CNTVT,O=C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C1=C2SC(C3=C(F)C(C#N)=C(/C=C/C4=C(C#N)C(F)=CS4)S3)=C1)C(C2C(N5CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)C6=C5C=CS6,26,2.57,88,4.6,Al,PMMA,Spin coating - annealing,Chlorobenzene,Ambient,TG/BC,Au,200,0.048,n,0
13,DPPTVT-CN1,O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC=C(/C(C#N)=C/C6=CC=CS6)S5)S4)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O,27.9,2.72,20,10,n++-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,150,0.53,n,1
14,DPPTVT-CN2,O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(C5=CC=C(/C(C#N)=C(C#N)/C6=CC=CS6)S5)S4)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O,31.4,2.59,20,10,n++-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,150,1.03,n,1
15,PTDPP-CNTT,O=C1N(CCCCC(CCCCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CS2)=C3C1=C(C4=CC=C(/C=C(C#N)/C5=CC(SC(C(C#N)=C)=C6)=C6S5)S4)N(CCCCC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O,54.9,1.64,28.8,2.56,Al,PMMA,Spin coating - annealing,o-DCB,Ambient,TG/BC,Au,180,0.0053,Ambipolar,0
16,PFDPP-CNTT,O=C1N(CCCCC(CCCCCCCCCCCC)CCCCCCCCCC)C(C2=CC=CO2)=C3C1=C(C4=CC=C(/C=C(C#N)/C5=CC(SC(C(C#N)=C)=C6)=C6S5)O4)N(CCCCC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O,10.5,1.88,28.8,2.56,Al,PMMA,Spin coating - annealing,o-DCB,Ambient,TG/BC,Au,140,0.0018,Ambipolar,0
17,DPPF-NTz,O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=CC=CO2)=C3C1=C(C4=CC=C(C5=CC(C6=NSN=C6C=C7)=C7C8=NSN=C85)O4)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O,34,1.33,16.7,17.3,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,150,0.00042,n,0
18,DPPF-NTz,O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=CC=CO2)=C3C1=C(C4=CC=C(C5=CC(C6=NSN=C6C=C7)=C7C8=NSN=C85)O4)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O,34,1.33,16.7,17.3,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,200,0.0011,n,0
19,DPPF-NTz,O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=CC=CO2)=C3C1=C(C4=CC=C(C5=CC(C6=NSN=C6C=C7)=C7C8=NSN=C85)O4)N(CC(CCCCCCCCCC)CCCCCCCC)C3=O,34,1.33,16.7,17.3,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/TC,Au,250,0.0013,n,0
20,IID-PVP,O=C(N1CC(CCCCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC=C(/C=C/C6=CC=CC=C6)C=C5)C=C4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C\3=O,36.9,2.5,20,10,n++-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/BC,Au,150,0.4,p,0
21,IID-PVPCN,O=C(N1CC(CCCCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC=C(/C=C(C#N)/C6=CC=CC=C6)C=C5)C=C4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C\3=O,32.9,2.8,20,10,n++-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/BC,Au,150,0.62,n,1
22,IID-PVPCN2,O=C(N1CC(CCCCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC=C(/C(C#N)=C(C#N)/C6=CC=CC=C6)C=C5)C=C4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C\3=O,29.7,3.2,20,10,n++-Si,Surface Treated SiO2,Spin coating - annealing,Chloroform,Nitrogen,BG/BC,Au,150,0.83,n,1
23,P[(iITT)(C1C10C12)(C12)],O=C(N1CC(CCCCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC(SC=C6)=C6S5)C=C4)N(CCCCCCCCCCCC)C\3=O,17.1,2.9,6.6,10,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chlorobenzene,Nitrogen,BG/TC,Au,150,0.12,p,0
24,P[(iITT)(C1C10C10)(C12)],O=C(N1CC(CCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC(SC=C6)=C6S5)C=C4)N(CCCCCCCCCCCC)C\3=O,12.2,2.4,6.6,10,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chlorobenzene,Nitrogen,BG/TC,Au,150,0.036,p,0
25,P[(iITT)(C2C10C10)(C12)],O=C(N1CCC(CCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC(SC=C6)=C6S5)C=C4)N(CCCCCCCCCCCC)C\3=O,7.2,2.3,6.6,10,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chlorobenzene,Nitrogen,BG/TC,Au,150,0.053,p,0
26,P[(iITT)(C3C10C10)(C12)],O=C(N1CCCC(CCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC(SC=C6)=C6S5)C=C4)N(CCCCCCCCCCCC)C\3=O,16,2.3,6.6,10,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chlorobenzene,Nitrogen,BG/TC,Au,150,0.024,p,0
27,P[(iITT)(C4C10C10)(C12)],O=C(N1CCCCC(CCCCCCCCCC)CCCCCCCCCC)/C(C2=C1C=CC=C2)=C3C4=C(C=C(C5=CC(SC=C6)=C6S5)C=C4)N(CCCCCCCCCCCC)C\3=O,24.6,3.6,6.6,10,n+-Si,Surface Treated SiO2,Spin coating - annealing,Chlorobenzene,Nitrogen,BG/TC,Au,150,0.1,p,0
28,PBFNDI-T,O=C1C2=C3C(C(N1CCCC(CCCCCCCCC(F)(F)C(F)(F)C(F)(F)F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)F)=O)=C(C4=CC=CS4)C=C5C3=C(C(N(CCCC(CCCCCCCCC(F)(C(F)(C(F)(F)F)F)F)CCCCCCCCC(F)(C(F)(C(F)(F)F)F)F)C5=O)=O)C=C2,43,6.4,28,11,Si,Surface Treated SiO2,Spin coating - annealing,o-DCB,Nitrogen,BG/BC,Au,180,0.00024,n,0
29,PBFNDI-BT,O=C1C2=C3C(C(N1CCCC(CCCCCCCCC(F)(F)C(F)(F)C(F)(F)F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)F)=O)=C(C4=CC=C(C5=CC=CS5)S4)C=C6C3=C(C(N(CCCC(CCCCCCCCC(F)(C(F)(C(F)(F)F)F)F)CCCCCCCCC(F)(C(F)(C(F)(F)F)F)F)C6=O)=O)C=C2,35,1.3,28,11,Si,Surface Treated SiO2,Spin coating - annealing,o-DCB,Nitrogen,BG/BC,Au,200,0.0182,n,0
30,PBFNDI-TVT,O=C1C2=C3C(C(N1CCCC(CCCCCCCCC(F)(F)C(F)(F)C(F)(F)F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)F)=O)=C(C4=CC=C(/C=C/C5=CC=CS5)S4)C=C6C3=C(C(N(CCCC(CCCCCCCCC(F)(C(F)(C(F)(F)F)F)F)CCCCCCCCC(F)(C(F)(C(F)(F)F)F)F)C6=O)=O)C=C2,29,1.9,28,11,Si,Surface Treated SiO2,Spin coating - annealing,o-DCB,Nitrogen,BG/BC,Au,200,0.00298,n,0
