Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
IIDDT,1,1,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(C5=CC=C([H])S5)S4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,33.7,5.4,3.45,19.85,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCB,,Ambient,p,-5.65,-3.78,1.06,0.66,-18.0,1000000-10000000,,,,,1.06,
IID-Se,2,2,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(C5=CC=C[Se]5)[Se]4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,26.7,3.5,3.4,19.74,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",160.0,TCB,,Ambient,p,-5.56,-3.79,0.66,0.46,-10.0,100000-1000000,,,,,0.66,
IID-BDT,3,3,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C(S4)=CC5=C4C=C(C=CS6)C6=C5)=C7)=C7N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,27.3,4.7,3.59,19.79,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.84,-3.77,0.48,0.37,-28.0,1000000-10000000,,,,,0.48,
IID-NDT,4,4,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC5=C(C(C=CC6=C7SC=C6)=C7C=C5)S4)=C8)=C8N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,24.8,3.5,3.65,19.46,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",200.0,TCB,,Ambient,p,-5.9,-3.75,0.32,0.25,-30.0,1000000-10000000,,,,,0.32,
IID-TT,5,5,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC(SC=C5)=C5S4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,25.5,3.5,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.7,-3.73,0.34,0.31,-6.0,100000-1000000,,,,,0.34,
IIDDT-Me,6,6,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC(C)=C(C5=C(C)C=C([H])S5)S4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,20.1,3.9,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.54,-3.78,0.11,0.091,-5.0,100000-1000000,,,,,0.11,
IIDT,7,7,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=CS4)=C5)=C5N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,19.6,3.1,,21.86,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.8,-3.81,0.019,0.015,-20.0,100000,,,,,0.019,
IID-T3,8,8,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(C5=CC=C(C6=CC=CS6)S5)S4)=C7)=C7N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,38.8,3.4,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.48,-3.7,0.061,0.048,-4.0,100000,,,,,0.061,
IID-TTT,9,9,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC(SC5=C6SC=C5)=C6S4)=C7)=C7N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,26.6,3.7,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",200.0,TCE,,Ambient,p,-5.44,-3.72,0.00103,,-4.0,10000,,,,,0.00103,
IID-TBT,10,10,2012,10.1021/cm300117x,Chemistry of materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C(S4)=CC5=C4C6=C(C=C5)C=CS6)=C7)=C7N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,11.2,2.5,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.55,-3.7,0.000135,,-16.0,1000,,,,,0.000135,
PIIDDTE-I,11,11,2013,10.1039/C3PY00735A,Polymer Chemistry,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(/C=C/C5=CC=CS5)S4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,9.5,2.78,3.94,19.84,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000,Ambient,p,-5.44,-3.6,0.38,0.29,-4.0,>1000000,,,,,0.38,
PIIDDTE-II,12,12,2013,10.1039/C3PY00735A,Polymer Chemistry,O=C1N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(/C=C/C5=CC=CS5)S4)=C6)=C6N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,13.4,7.02,3.86,22.37,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000,Ambient,p,-5.54,-3.69,0.58,0.45,1.0,>10000000,,,,,0.58,
PIIDDTE-III,13,13,2013,10.1039/C3PY00735A,Polymer Chemistry,O=C1N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(/C=C/C5=CC=CS5)S4)=C6)=C6N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,98.8,3.31,3.84,21.46,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000,Ambient,p,-5.54,-3.65,2.2,1.7,2.5,>1000000,,,,,2.2,
PIIG-T2,14,14,2019,10.1002/adfm.201805994,Advanced Functional Materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(C5=CC=CS5)S4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,119.0,3.58,3.81,19.22,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",250.0,Chlorobenzene,2000,Nitrogen,p,-5.63,-3.99,0.09,,-37.01,,0.01,,49.58,,0.09,
PIIG-iFT2,15,15,2019,10.1002/adfm.201805994,Advanced Functional Materials,FC1=C(C2=C(F)C=CS2)SC(C3=CC(N(CC(CCCCCCCC)CCCCCCCCCC)C/4=O)=C(C=C3)C4=C(C5=CC=C([H])C=C5N6CC(CCCCCCCC)CCCCCCCCCC)/C6=O)=C1,128.0,3.06,3.69,19.32,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",250.0,Chlorobenzene,2000,Nitrogen,ambipolar,-5.8,-4.17,0.12,,-44.96,,0.05,,43.4,,0.12,
PIIG-oFT2,16,16,2019,10.1002/adfm.201805994,Advanced Functional Materials,O=C1N(CC(CCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=C(F)C=C(C5=CC(F)=CS5)S4)=C6)=C6N(CC(CCCCCCCC)CCCCCCCCCC)C/3=O,81.0,3.11,3.64,20.46,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",250.0,Chlorobenzene,2000,Nitrogen,ambipolar,-5.86,-4.18,0.09,,-41.54,,0.09,,41.98,,0.09,
P2TIF,17,17,2019,10.1021/acsaelm.9b00396,ACS Applied Electronic Materials,O=C1N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC(F)=C(C5=C(F)C=CS5)S4)=C6)=C6N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,109.6,1.35,,23.3,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,300.0,10.0,Au,Si,"Spin coating - annealing",240.0,Chloroform,800,Ambient,p,-5.69,-3.82,0.14,0.12,-25.3,>10000,,,,,0.14,
P4TIF,18,18,2019,10.1021/acsaelm.9b00396,ACS Applied Electronic Materials,O=C1N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC(CCCCCCCCCCCC)=C(C5=C(F)C=C(C6=C(F)C=C(S6)C7=C(CCCCCCCCCCCC)C=CS7)S5)S4)=C8)=C8N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,142.1,1.6,,26.4,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,300.0,10.0,Au,Si,"Spin coating - annealing",240.0,Chloroform,800,Ambient,p,-5.41,-3.82,0.49,0.41,-7.6,>10000,,,,,0.49,
P6TIF,19,19,2019,10.1021/acsaelm.9b00396,ACS Applied Electronic Materials,O=C1N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC(CCCCCCCCCCCC)=C(C5=CC(CCCCCCCCCCCC)=C(C6=CC(F)=C(S6)C7=C(F)C=C(C8=C(CCCCCCCCCCCC)C=C(C9=C(CCCCCCCCCCCC)C=CS9)S8)S7)S5)S4)=C%10)=C%10N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,156.1,1.35,,26.5,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,300.0,10.0,Au,Si,"Spin coating - annealing",210.0,Chloroform,800,Ambient,p,-5.26,-3.83,0.068,0.065,-3.9,>10000,,,,,0.068,
PIDTE-S3,20,20,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(/C=C/C5=CC=CS5)S4)=C6)=C6N(CCCC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,301.0,3.71,3.99,25.83,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,Spin coating,,TCE,1000,Ambient,p,-5.49,-3.89,1.06,1.01,-11.0,1000000,,,,,1.06,
PIDTE-S6,21,21,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",O=C1N(CCCCCCC(CCCCCCCCCCCC)CCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(/C=C/C5=CC=CS5)S4)=C6)=C6N(CCCCCCC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,326.0,3.61,3.81,29.93,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,Spin coating,,TCE,1000,Ambient,p,-5.44,-3.86,1.15,1.09,-4.5,1000000,,,,,1.15,
PIDTE-S3,20,22,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",O=C1N(CCCC(CCCCCCCCCC)CCCCCCCCCCCC)C2=CC([H])=CC=C2/C1=C3C(C=CC(C4=CC=C(/C=C/C5=CC=CS5)S4)=C6)=C6N(CCCC(CCCCCCCCCCCC)CCCCCCCCCC)C/3=O,301.0,3.71,3.99,25.83,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000,Ambient,p,-5.49,-3.89,1.89,1.52,-13.0,1000000-10000000,,,,,1.89,
