Compound name,Compound id,Device id,Publish year,Doi,Journal name,Smiles,Mn(Kda),Dispersity(Đ),π-π Spacing,d(100),Device architectures,Channel length(μm),Channel width(μm),Ratio of channel length and width,Materials of dielectric layer,Thickness of dielectric layer(μm),Capacitance of unit area(nF),Materials of source and drain electrodes,Materials of gate electrodes,Fabrication method,Annealing temperature,Spin coating solvent,Spin coating speed(rpm),Test environment,Type of carriers,HOMO (eV),LUMO (eV),Max hole mobility (cm²V⁻¹s⁻¹),Mean hole mobility (cm²V⁻¹s⁻¹),Hole threshold voltage(V),Hole on and off ratio,Max electron mobility (cm²V⁻¹s⁻¹),Mean electron mobility (cm²V⁻¹s⁻¹),Electron threshold voltage(V),Electron on and off ratio,Max mobility (cm²V⁻¹s⁻¹),Comments
IIDDT,1,1,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,33.7,5.4,3.45,19.85,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCB,,Ambient,p,-5.65,-3.78,1.06,0.66,-18.0,1000000-10000000,,,,,1.06,
IID-Se,2,2,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5ccc[se]5)[se]4)ccc32)c2ccccc21,26.7,3.5,3.4,19.74,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",160.0,TCB,,Ambient,p,-5.56,-3.79,0.66,0.46,-10.0,100000-1000000,,,,,0.66,
IID-BDT,3,3,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5cc6sccc6cc5s4)ccc32)c2ccccc21,27.3,4.7,3.59,19.79,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.84,-3.77,0.48,0.37,-28.0,1000000-10000000,,,,,0.48,
IID-NDT,4,4,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5ccc6c(ccc7ccsc76)c5s4)ccc32)c2ccccc21,24.8,3.5,3.65,19.46,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",200.0,TCB,,Ambient,p,-5.9,-3.75,0.32,0.25,-30.0,1000000-10000000,,,,,0.32,
IID-TT,5,5,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sccc5s4)ccc32)c2ccccc21,25.5,3.5,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.7,-3.73,0.34,0.31,-6.0,100000-1000000,,,,,0.34,
IIDDT-Me,6,6,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc(C)c(-c5sccc5C)s4)ccc32)c2ccccc21,20.1,3.9,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.54,-3.78,0.11,0.091,-5.0,100000-1000000,,,,,0.11,
IIDT,7,7,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cccs4)ccc32)c2ccccc21,19.6,3.1,,21.86,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.8,-3.81,0.019,0.015,-20.0,100000,,,,,0.019,
IID-T3,8,8,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5ccc(-c6cccs6)s5)s4)ccc32)c2ccccc21,38.8,3.4,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.48,-3.7,0.061,0.048,-4.0,100000,,,,,0.061,
IID-TTT,9,9,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sc6ccsc6c5s4)ccc32)c2ccccc21,26.6,3.7,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",200.0,TCE,,Ambient,p,-5.44,-3.72,0.00103,,-4.0,10000,,,,,0.00103,
IID-TBT,10,10,2012,10.1021/cm300117x,Chemistry of materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5ccc6ccsc6c5s4)ccc32)c2ccccc21,11.2,2.5,,,BG/TC,60.0,3000.0,50.0,OTS-modified SiO2,300.0,11.0,Au,Si,"Spin coating - annealing",150.0,TCE,,Ambient,p,-5.55,-3.7,0.000135,,-16.0,1000,,,,,0.000135,
PIIDDTE-I,11,11,2013,10.1039/C3PY00735A,Polymer Chemistry,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,9.5,2.78,3.94,19.84,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000.0,Ambient,p,-5.44,-3.6,0.38,0.29,-4.0,>1000000,,,,,0.38,
PIIDDTE-II,12,12,2013,10.1039/C3PY00735A,Polymer Chemistry,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,13.4,7.02,3.86,22.37,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000.0,Ambient,p,-5.54,-3.69,0.58,0.45,1.0,>10000000,,,,,0.58,
PIIDDTE-III,13,13,2013,10.1039/C3PY00735A,Polymer Chemistry,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,98.8,3.31,3.84,21.46,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000.0,Ambient,p,-5.54,-3.65,2.2,1.7,2.5,>1000000,,,,,2.2,
PIIG-T2,14,14,2019,10.1002/adfm.201805994,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,119.0,3.58,3.81,19.22,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",250.0,Chlorobenzene,2000.0,Nitrogen,p,-5.63,-3.99,0.09,,-37.01,,0.01,,49.58,,0.09,
PIIG-iFT2,15,15,2019,10.1002/adfm.201805994,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc(F)c(-c5sccc5F)s4)ccc32)c2ccccc21,128.0,3.06,3.69,19.32,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",250.0,Chlorobenzene,2000.0,Nitrogen,ambipolar,-5.8,-4.17,0.12,,-44.96,,0.05,,43.4,,0.12,
PIIG-oFT2,16,16,2019,10.1002/adfm.201805994,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4sc(-c5cc(F)cs5)cc4F)ccc32)c2ccccc21,81.0,3.11,3.64,20.46,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",250.0,Chlorobenzene,2000.0,Nitrogen,ambipolar,-5.86,-4.18,0.09,,-41.54,,0.09,,41.98,,0.09,
P2TIF,17,17,2019,10.1021/acsaelm.9b00396,ACS Applied Electronic Materials,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4cc(F)c(-c5sccc5F)s4)ccc32)c2ccccc21,109.6,1.35,,23.3,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,300.0,10.0,Au,Si,"Spin coating - annealing",240.0,Chloroform,800.0,Ambient,p,-5.69,-3.82,0.14,0.12,-25.3,>10000,,,,,0.14,
P4TIF,18,18,2019,10.1021/acsaelm.9b00396,ACS Applied Electronic Materials,CCCCCCCCCCCCc1ccsc1-c1cc(F)c(-c2cc(F)c(-c3sc(-c4ccc5c(c4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C5=C4/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c5ccccc54)cc3CCCCCCCCCCCC)s2)s1,142.1,1.6,,26.4,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,300.0,10.0,Au,Si,"Spin coating - annealing",240.0,Chloroform,800.0,Ambient,p,-5.41,-3.82,0.49,0.41,-7.6,>10000,,,,,0.49,
P6TIF,19,19,2019,10.1021/acsaelm.9b00396,ACS Applied Electronic Materials,CCCCCCCCCCCCc1ccsc1-c1cc(CCCCCCCCCCCC)c(-c2cc(F)c(-c3sc(-c4sc(-c5sc(-c6ccc7c(c6)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)/C7=C6/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c7ccccc76)cc5CCCCCCCCCCCC)cc4CCCCCCCCCCCC)cc3F)s2)s1,156.1,1.35,,26.5,BG/TC,100.0,1000.0,10.0,OTS-modified SiO2,300.0,10.0,Au,Si,"Spin coating - annealing",210.0,Chloroform,800.0,Ambient,p,-5.26,-3.83,0.068,0.065,-3.9,>10000,,,,,0.068,
PIDTE-S3,20,20,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",CCCCCCCCCCCCC(CCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,301.0,3.71,3.99,25.83,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,Spin coating,,TCE,1000.0,Ambient,p,-5.49,-3.89,1.06,1.01,-11.0,1000000,,,,,1.06,
PIDTE-S6,21,21,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,326.0,3.61,3.81,29.93,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,Spin coating,,TCE,1000.0,Ambient,p,-5.44,-3.86,1.15,1.09,-4.5,1000000,,,,,1.15,
PIDTE-S3,20,22,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",CCCCCCCCCCCCC(CCCCCCCCCC)CCCN1C(=O)/C(=C2/C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,301.0,3.71,3.99,25.83,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000.0,Ambient,p,-5.49,-3.89,1.89,1.52,-13.0,1000000-10000000,,,,,1.89,
PIDTE-S6,21,23,2015,10.1002/pola.27555,"Journal of Polymer Science, Part A: Polymer Chemistry",CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,326.0,3.61,3.81,29.93,BG/TC,100.0,1500.0,15.0,OTS-modified SiO2,300.0,,Au,Si,"Spin coating - annealing",230.0,TCE,1000.0,Ambient,p,-5.44,-3.86,4.07,3.85,-6.0,10000000,,,,,4.07,
IID24-CNTVT,22,24,2018,10.1021/acsami.8b03131,ACS Applied Materials & Interfaces,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C(\C#N)c5cccs5)s4)ccc32)c2ccccc21,66.0,2.15,3.59,23.5,TG/BC,,,,PMMA,,,Ni/Au,Al,"Spin coating - annealing",310.0,DCB:2-Methoxyethanol(9:1),1500.0,Nitrogen,n,-5.17,-3.97,,0.26,,,1.07,0.83,42.0,600,1.07,
P-24-IID-TVT,23,25,2015,10.1039/C5CC02104A,Chemistry Communication,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,108.0,2.98,,21.8,TG/BC,100.0,1000.0,10.0,OTS-modified SiO2,100.0,,Au,Si,"Spin coating - annealing",170.0,Toluene,2000.0,Nitrogen,p,-5.32,-3.45,1.11,0.86,-2.0,100000,,,,,1.11,
P-24-IID-SVS,24,26,2015,10.1039/C5CC02104A,Chemistry Communication,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5ccc[se]5)[se]4)ccc32)c2ccccc21,189.0,2.29,,21.8,TG/BC,100.0,1000.0,10.0,OTS-modified SiO2,100.0,,Au,Si,"Spin coating - annealing",170.0,Toluene,2000.0,Nitrogen,p,-5.36,-3.49,0.72,0.47,-8.0,100000,,,,,0.72,
P-29-IID-TVT,25,27,2015,10.1039/C5CC02104A,Chemistry Communication,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5cccs5)s4)ccc32)c2ccccc21,81.0,2.72,,27.6,TG/BC,100.0,1000.0,10.0,OTS-modified SiO2,100.0,,Au,Si,"Spin coating - annealing",170.0,Toluene,2000.0,Nitrogen,p,-5.31,-3.44,2.13,1.69,10.0,100000,,,,,2.13,
P-29-IID-SVS,26,28,2015,10.1039/C5CC02104A,Chemistry Communication,CCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc(/C=C/c5ccc[se]5)[se]4)ccc32)c2ccccc21,295.0,2.36,,27.6,TG/BC,100.0,1000.0,10.0,OTS-modified SiO2,100.0,,Au,Si,"Spin coating - annealing",170.0,Toluene,2000.0,Nitrogen,p,-5.35,-3.48,5.83,5.1,14.0,100000,,,,,5.83,
PIIG-p,27,29,2016,10.1002/adfm.201504908,Advanced Functional Materials,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3cc(-c4ccc5ccccc5c4)ccc32)c2ccccc21,72.0,1.25,,20.88,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,1400.0,Nitrogen,p,-5.56,-3.59,0.022,0.019,-37.61,,,,,,0.022,
PIIG-T,28,30,2016,10.1002/adfm.201504908,Advanced Functional Materials,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,34.0,2.69,3.63,19.57,TG/BC,20.0,1000.0,50.0,PMMA,500.0,,Ni/Au,Al,"Spin coating - annealing",250.0,TCB,1400.0,Nitrogen,p,-5.37,-3.59,0.65,0.48,-43.45,,0.034,0.03,45.8,,0.65,
